collection_slug,collection_name,collection_url,asset_id,asset_name,asset_description,asset_contract_date,asset_url,asset_img_url,event_id,event_time,event_auction_type,event_contract_address,event_quantity,event_payment_symbol,event_total_price
boredapeyachtclub,Bored Ape Yacht Club,https://opensea.io/collection/boredapeyachtclub,23110447,,,2021-04-22T03:03:43.731860,https://opensea.io/assets/ethereum/0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d/449,https://lh3.googleusercontent.com/bIVZurwe7HW8UmoSt6ciMeG8P55zJMIjSnM6Y2vW9zKEjzPloiYq15a_5R9OBiqUgYBoV3RmeDD_m6x6OnmP_2du1eXo5NJMRHj1,7119088430,2022-07-11T14:05:18.827936,,0x7f268357a8c2552623316e2562d90e642bb538e5,1,ETH,105.0
boredapeyachtclub,Bored Ape Yacht Club,https://opensea.io/collection/boredapeyachtclub,23132628,,,2021-04-22T03:03:43.731860,https://opensea.io/assets/ethereum/0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d/2282,https://lh3.googleusercontent.com/ZjQYXIJx0U14iYPUiOsNBsi6nEbRd045-ZIkcEuWpeN3gpEsKGvBrJUh2trTnnHXmIg-4xNN0mlxI4_q4yDgnNLWkbwggF7K2LvA,7081935521,2022-07-05T21:08:39.467486,,0x7f268357a8c2552623316e2562d90e642bb538e5,1,ETH,125.0
boredapeyachtclub,Bored Ape Yacht Club,https://opensea.io/collection/boredapeyachtclub,23130232,,,2021-04-22T03:03:43.731860,https://opensea.io/assets/ethereum/0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d/1539,https://lh3.googleusercontent.com/AO3fM-ep5ccGc7Zi0JmtIQ9ev4n2aYmksk3Dpcct2Nnx6htbIVcu3aTlS5vnJJbU-E-WU_MwXMHswwPgkZeFPMunr45oZAznKAJgvS0,7050456854,2022-07-01T19:58:21.119178,,0x7f268357a8c2552623316e2562d90e642bb538e5,1,ETH,95.0
boredapeyachtclub,Bored Ape Yacht Club,https://opensea.io/collection/boredapeyachtclub,23139902,,,2021-04-22T03:03:43.731860,https://opensea.io/assets/ethereum/0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d/6950,https://lh3.googleusercontent.com/kNCfDQbnwfvs_plXjdfgebGo9vCWt8YuG3SQHmKqWH_8JFzLwr_eXRgNXJya3wJoPebvCim5V24bM76zzyMCW2Nw2JudTDmXxZRu,7025778633,2022-06-28T09:25:59.689974,,0x7f268357a8c2552623316e2562d90e642bb538e5,1,ETH,166.0
boredapeyachtclub,Bored Ape Yacht Club,https://opensea.io/collection/boredapeyachtclub,23133889,,,2021-04-22T03:03:43.731860,https://opensea.io/assets/ethereum/0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d/2896,https://lh3.googleusercontent.com/r-IHI74g69E1IDWVG8273J1QrQI40R-G3xA__-E9T2LEpA3Ve77_2_RVBNxGROedUAMzPrSSSLymDQsAVvMaelX1PZAm5pWHgYtW,7014231185,2022-06-26T17:44:38.328932,,0x7f268357a8c2552623316e2562d90e642bb538e5,1,ETH,166.0
boredapeyachtclub,Bored Ape Yacht Club,https://opensea.io/collection/boredapeyachtclub,23140299,,,2021-04-22T03:03:43.731860,https://opensea.io/assets/ethereum/0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d/7204,https://lh3.googleusercontent.com/_Yja3wqgjpl4UkpKW5nYyeoOUVdr0Mbeg-N6RHbYoo6XN9_FyjPdctq2gyJdOMxfY-Rn88t96biR776KGdVYhcSonmtqnKRFzmXl,6998794796,2022-06-23T16:17:11.977161,,0x7f268357a8c2552623316e2562d90e642bb538e5,1,ETH,130.0
boredapeyachtclub,Bored Ape Yacht Club,https://opensea.io/collection/boredapeyachtclub,23136393,,,2021-04-22T03:03:43.731860,https://opensea.io/assets/ethereum/0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d/4595,https://lh3.googleusercontent.com/ZGsGPKiUHiQx2cosXFVUWw4K7YgE-FpgmVenPWBe0OfpHZK4AaOwCvkfT8SlJZx0BujDl5zOYI7dPPN46xCWsMDSm_1F9fKn_TtlbQ,6967169217,2022-06-20T12:13:00.605106,,0x7f268357a8c2552623316e2562d90e642bb538e5,1,ETH,108.0
boredapeyachtclub,Bored Ape Yacht Club,https://opensea.io/collection/boredapeyachtclub,23142472,,,2021-04-22T03:03:43.731860,https://opensea.io/assets/ethereum/0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d/8879,https://lh3.googleusercontent.com/N_xnof_pdgJp23mxZpokwcNo304a5LuC3937TgRLiwnE2w6mOevc4CvnG2k11mJbvanXtq9REZg0PDGN_7533gVinFWzKREyPPH-jA,6961330654,2022-06-19T22:36:04.350741,,0x7f268357a8c2552623316e2562d90e642bb538e5,1,ETH,115.0
boredapeyachtclub,Bored Ape Yacht Club,https://opensea.io/collection/boredapeyachtclub,23141101,,,2021-04-22T03:03:43.731860,https://opensea.io/assets/ethereum/0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d/7801,https://lh3.googleusercontent.com/w8pQ01LzQ6_i7iJkSvE0dmeCYdu3Y9JxNKPHrodlR4nlunQips80kCnoJy6UtlC092dNfs6dmfEOXKnSU9IqUNT7DxJiAGr6_A9JdvM,6960895915,2022-06-19T21:30:36.011631,,0x7f268357a8c2552623316e2562d90e642bb538e5,1,ETH,130.0
boredapeyachtclub,Bored Ape Yacht Club,https://opensea.io/collection/boredapeyachtclub,23139334,,,2021-04-22T03:03:43.731860,https://opensea.io/assets/ethereum/0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d/6580,https://lh3.googleusercontent.com/5W29qO1b3dvfa_8JFvwGUVE3B2-mOV6rJhtvgxw_PzPA6qNqYLwz6NVFCyWUPM0ZUef-y_A09pVQDZ0c4jtrg-E4oGYs_KMg_1Os,6945820418,2022-06-18T11:33:09.673345,,0x7f268357a8c2552623316e2562d90e642bb538e5,1,ETH,100.0
boredapeyachtclub,Bored Ape Yacht Club,https://opensea.io/collection/boredapeyachtclub,23133865,,,2021-04-22T03:03:43.731860,https://opensea.io/assets/ethereum/0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d/2882,https://lh3.googleusercontent.com/1ZjgkB8rG2TbAugDJPFO6OXiPcIOwOTCOeYTRnANSQK9g5sWWhBSD0fpPLcm_bnkQPXZvH-oK-_1HF0AatMjpN3V1G6bFEutp5ekxg,6942109279,2022-06-18T04:03:37.328249,,0x7f268357a8c2552623316e2562d90e642bb538e5,1,ETH,169.0
boredapeyachtclub,Bored Ape Yacht Club,https://opensea.io/collection/boredapeyachtclub,23138730,,,2021-04-22T03:03:43.731860,https://opensea.io/assets/ethereum/0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d/6172,https://lh3.googleusercontent.com/cIsNXHVL_gx8vBFq-3t_COjeb638JRNzL50uAcnFpnTmFtbyayKDAyKC1f5dznTYQlIbNhYW0iRPWfA2pt9vsPAuDh_9shbT5dLBlBU,6941083201,2022-06-18T02:00:39.019061,,0x7f268357a8c2552623316e2562d90e642bb538e5,1,ETH,135.0
boredapeyachtclub,Bored Ape Yacht Club,https://opensea.io/collection/boredapeyachtclub,23142556,,,2021-04-22T03:03:43.731860,https://opensea.io/assets/ethereum/0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d/8971,https://lh3.googleusercontent.com/aE1w14hjVb3IvPPQ_7iPkWt-vmIXYgKslesyT7zmorO9vX2caj1-reNP3uxLi0Px_0dmucmZyD3mR0Kfizbt_J-PPB9oLAjlLfW3eg,6937274566,2022-06-17T17:33:27.493005,,0x7f268357a8c2552623316e2562d90e642bb538e5,1,ETH,114.0
boredapeyachtclub,Bored Ape Yacht Club,https://opensea.io/collection/boredapeyachtclub,23142802,,,2021-04-22T03:03:43.731860,https://opensea.io/assets/ethereum/0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d/9177,https://lh3.googleusercontent.com/6XabH0_GgMgph7xZSGhR_lU-1agzfN9cezxkUqF6keZMOEG3BiimgYLYvMQPrJ7sEGNnfpGpiWT90nCHA9C0pp_dvY8wuvTOg3yrfA,6915590649,2022-06-16T05:45:41.648769,,0x7f268357a8c2552623316e2562d90e642bb538e5,1,ETH,94.0
boredapeyachtclub,Bored Ape Yacht Club,https://opensea.io/collection/boredapeyachtclub,23135674,,,2021-04-22T03:03:43.731860,https://opensea.io/assets/ethereum/0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d/4072,https://lh3.googleusercontent.com/snhE6vGeCYuRKBl99dOLKDihxZ2oip-Rxwb6kZsq8zBnulV9h_TBIglMbnHKSAF0bf1bNyTCL-kLvLhBnLu42Nm9xqR7idDfElmXLA,6913880458,2022-06-16T03:40:53.554715,,0x7f268357a8c2552623316e2562d90e642bb538e5,1,ETH,99.69
boredapeyachtclub,Bored Ape Yacht Club,https://opensea.io/collection/boredapeyachtclub,23140803,,,2021-04-22T03:03:43.731860,https://opensea.io/assets/ethereum/0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d/7544,https://lh3.googleusercontent.com/zPmIrPrluN4d7NcB-c8j-m_mjuyc6osd6IlOGjZNeyjgzX23x6CrjMk1jPkGJ3amcSMj3KZNsndBQQ70jpbrZpUBQis5GF1V8duOrA,6912656126,2022-06-16T02:05:33.566424,,0x7f268357a8c2552623316e2562d90e642bb538e5,1,ETH,115.0
boredapeyachtclub,Bored Ape Yacht Club,https://opensea.io/collection/boredapeyachtclub,23142201,,,2021-04-22T03:03:43.731860,https://opensea.io/assets/ethereum/0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d/8639,https://lh3.googleusercontent.com/kSd-J3spIDLqHMiQKGkvHuCCmUoAK4lU7ji1CQhNTOraMOloMGlgAMYOZLhzp4F2Tz1dh-haDZCj1GDo1X5DCs9hjHZ9kJMX0YZ_Kg,6910361041,2022-06-15T22:43:38.817105,,0x7f268357a8c2552623316e2562d90e642bb538e5,1,ETH,137.0
boredapeyachtclub,Bored Ape Yacht Club,https://opensea.io/collection/boredapeyachtclub,23139792,,,2021-04-22T03:03:43.731860,https://opensea.io/assets/ethereum/0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d/6853,https://lh3.googleusercontent.com/cppsrlt-PdOelvemxUf8CRS-f1aautZcmcoIbBJOn9lLP4aITWLMCgh5u8N7N7RYn9B6sgSddBmoHXuJhKBk1m_1dyf0Krr_UM7r,6901022482,2022-06-15T10:32:11.507152,,0x7f268357a8c2552623316e2562d90e642bb538e5,1,ETH,128.0
boredapeyachtclub,Bored Ape Yacht Club,https://opensea.io/collection/boredapeyachtclub,23135410,,,2021-04-22T03:03:43.731860,https://opensea.io/assets/ethereum/0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d/3868,https://lh3.googleusercontent.com/4gWLagU0YhNNnOdPKNqdDmiae46eahAT8yoY0VEBAR5eSluWDxRYtljQifZZd3y6Dna5uQna49G-DJx6xLAl0uKYExgLTnHt3DM7dA,6899294391,2022-06-15T08:36:59.620081,,0x7f268357a8c2552623316e2562d90e642bb538e5,1,USDC,105000.0
