collection_slug,collection_name,collection_url,asset_id,asset_name,asset_description,asset_contract_date,asset_url,asset_img_url,event_id,event_time,event_auction_type,event_contract_address,event_quantity,event_payment_symbol,event_total_price
doodles-official,Doodles,https://opensea.io/collection/doodles-official,74062731,Doodle #3221,"A community-driven collectibles project featuring art by Burnt Toast. Doodles come in a joyful range of colors, traits and sizes with a collection size of 10,000. Each Doodle allows its owner to vote for experiences and activations paid for by the Doodles Community Treasury. Burnt Toast is the working alias for Scott Martin, a Canadian–based illustrator, designer, animator and muralist.",2021-10-16T16:25:03.736944,https://opensea.io/assets/ethereum/0x8a90cab2b38dba80c64b7734e58ee1db38b8992e/3221,https://lh3.googleusercontent.com/w75lSncbTTQRNbTF_E2FPDg48dLmo5DNoxvMqwktcCUODllXah253VAE97JnupVj_O1giApc-5mFhYxT0eddVqwQbJfclwjBj7Ps,7015057281,2022-06-26T21:16:30.381185,,0x7f268357a8c2552623316e2562d90e642bb538e5,1,ETH,48.0
doodles-official,Doodles,https://opensea.io/collection/doodles-official,74415336,Doodle #8649,"A community-driven collectibles project featuring art by Burnt Toast. Doodles come in a joyful range of colors, traits and sizes with a collection size of 10,000. Each Doodle allows its owner to vote for experiences and activations paid for by the Doodles Community Treasury. Burnt Toast is the working alias for Scott Martin, a Canadian–based illustrator, designer, animator and muralist.",2021-10-16T16:25:03.736944,https://opensea.io/assets/ethereum/0x8a90cab2b38dba80c64b7734e58ee1db38b8992e/8649,https://lh3.googleusercontent.com/EYpAIZpTGhGlZ5rDDBer0wdFhtX78NN_tLfElthTa2Qsq8aIj1Sndl3-wWgkUgWIfM5Hbav7Jdi9PI6c3BLB944EgE8wSJURROj_,7006724883,2022-06-25T09:27:58.610032,,0x7f268357a8c2552623316e2562d90e642bb538e5,1,ETH,20.0
doodles-official,Doodles,https://opensea.io/collection/doodles-official,74411674,Doodle #6062,"A community-driven collectibles project featuring art by Burnt Toast. Doodles come in a joyful range of colors, traits and sizes with a collection size of 10,000. Each Doodle allows its owner to vote for experiences and activations paid for by the Doodles Community Treasury. Burnt Toast is the working alias for Scott Martin, a Canadian–based illustrator, designer, animator and muralist.",2021-10-16T16:25:03.736944,https://opensea.io/assets/ethereum/0x8a90cab2b38dba80c64b7734e58ee1db38b8992e/6062,https://lh3.googleusercontent.com/Vi-C_HckDhUOPQN6pJSo8DmuIoeCIkecQvvUM41qLrid63T52SoSyCKvnQuMN7JW1g8QnXWGO0ztcYncE9OqdZoIwKuPGXkChDsl,7001067682,2022-06-24T06:01:11.863513,,0x7f268357a8c2552623316e2562d90e642bb538e5,1,ETH,88.0
doodles-official,Doodles,https://opensea.io/collection/doodles-official,74060204,Doodle #3162,"A community-driven collectibles project featuring art by Burnt Toast. Doodles come in a joyful range of colors, traits and sizes with a collection size of 10,000. Each Doodle allows its owner to vote for experiences and activations paid for by the Doodles Community Treasury. Burnt Toast is the working alias for Scott Martin, a Canadian–based illustrator, designer, animator and muralist.",2021-10-16T16:25:03.736944,https://opensea.io/assets/ethereum/0x8a90cab2b38dba80c64b7734e58ee1db38b8992e/3162,https://lh3.googleusercontent.com/QZMvyMkTteUZG9K4a8CZNTYWPjk78fpRHO2UhksXwIjUpkUz7yDyrZY8zJ5ZuR93NmbZcF1S_DEZB9J_IutJk_WmYNH0BwjbZWgg7A,6998269221,2022-06-23T13:42:11.382682,,0x7f268357a8c2552623316e2562d90e642bb538e5,1,ETH,17.0
doodles-official,Doodles,https://opensea.io/collection/doodles-official,74411622,Doodle #6130,"A community-driven collectibles project featuring art by Burnt Toast. Doodles come in a joyful range of colors, traits and sizes with a collection size of 10,000. Each Doodle allows its owner to vote for experiences and activations paid for by the Doodles Community Treasury. Burnt Toast is the working alias for Scott Martin, a Canadian–based illustrator, designer, animator and muralist.",2021-10-16T16:25:03.736944,https://opensea.io/assets/ethereum/0x8a90cab2b38dba80c64b7734e58ee1db38b8992e/6130,https://lh3.googleusercontent.com/LK_pNhS80uAR27Ya0Xr-2CLWfP1dP2o9p3m_LZcvX7VuzGs2gqOFe6Ou_Kw_RIIbD5b-l-heniEPDe4_QgukGjCfQxIGUFI5Tbx0eOs,6990308184,2022-06-22T19:07:17.173223,,0x7f268357a8c2552623316e2562d90e642bb538e5,1,ETH,14.5
doodles-official,Doodles,https://opensea.io/collection/doodles-official,74416727,Doodle #9621,"A community-driven collectibles project featuring art by Burnt Toast. Doodles come in a joyful range of colors, traits and sizes with a collection size of 10,000. Each Doodle allows its owner to vote for experiences and activations paid for by the Doodles Community Treasury. Burnt Toast is the working alias for Scott Martin, a Canadian–based illustrator, designer, animator and muralist.",2021-10-16T16:25:03.736944,https://opensea.io/assets/ethereum/0x8a90cab2b38dba80c64b7734e58ee1db38b8992e/9621,https://lh3.googleusercontent.com/i-rmlieWakhiQa3smhj_Q4tfFtNJaJkCqc8snHKifXSLrZimiSDTKs42Gc5hCPvQs6Ak8XyYiI78N4JAC5qA_are314c5GAkiqoW,6984433051,2022-06-22T04:02:20.614219,,0x7f268357a8c2552623316e2562d90e642bb538e5,1,ETH,18.0
doodles-official,Doodles,https://opensea.io/collection/doodles-official,74049615,Doodle #2439,"A community-driven collectibles project featuring art by Burnt Toast. Doodles come in a joyful range of colors, traits and sizes with a collection size of 10,000. Each Doodle allows its owner to vote for experiences and activations paid for by the Doodles Community Treasury. Burnt Toast is the working alias for Scott Martin, a Canadian–based illustrator, designer, animator and muralist.",2021-10-16T16:25:03.736944,https://opensea.io/assets/ethereum/0x8a90cab2b38dba80c64b7734e58ee1db38b8992e/2439,https://lh3.googleusercontent.com/BE5FtfQaBEI5Fx9whokTyFCMoeVFn_-cZObG1yLsNqbsvdf7-N3G7vkZF9kdSkEuv-rI1HnHOwCQiWfnujPHMiIw_BfD_irs56erjw,6984352233,2022-06-22T03:53:20.853389,,0x7f268357a8c2552623316e2562d90e642bb538e5,1,ETH,16.69
doodles-official,Doodles,https://opensea.io/collection/doodles-official,74103674,Doodle #4164,"A community-driven collectibles project featuring art by Burnt Toast. Doodles come in a joyful range of colors, traits and sizes with a collection size of 10,000. Each Doodle allows its owner to vote for experiences and activations paid for by the Doodles Community Treasury. Burnt Toast is the working alias for Scott Martin, a Canadian–based illustrator, designer, animator and muralist.",2021-10-16T16:25:03.736944,https://opensea.io/assets/ethereum/0x8a90cab2b38dba80c64b7734e58ee1db38b8992e/4164,https://lh3.googleusercontent.com/TQA6AO5cx4_ofv--2dqU22LTZ1VZiyueoT-eo2HzD5o0oKH1KhKiKLwqWTWaNwHo7s3FEJENfnTlBNXOcohiISWXow6E5Q_jxZ9GfSU,6984235169,2022-06-22T03:40:53.429973,,0x7f268357a8c2552623316e2562d90e642bb538e5,1,ETH,42.69
doodles-official,Doodles,https://opensea.io/collection/doodles-official,74414911,Doodle #8385,"A community-driven collectibles project featuring art by Burnt Toast. Doodles come in a joyful range of colors, traits and sizes with a collection size of 10,000. Each Doodle allows its owner to vote for experiences and activations paid for by the Doodles Community Treasury. Burnt Toast is the working alias for Scott Martin, a Canadian–based illustrator, designer, animator and muralist.",2021-10-16T16:25:03.736944,https://opensea.io/assets/ethereum/0x8a90cab2b38dba80c64b7734e58ee1db38b8992e/8385,https://lh3.googleusercontent.com/zfGesdYs74Vp_5LhW6xfaJqjKYiQRCx-TkeF8UHexDHZAtTJyufQdHska5k3yCKDmVNNOnznPckhnpSQt-w2AEtNL8DVveAk3kvgxg,6984159745,2022-06-22T03:33:02.848235,,0x7f268357a8c2552623316e2562d90e642bb538e5,1,ETH,16.0
doodles-official,Doodles,https://opensea.io/collection/doodles-official,74125562,Doodle #4432,"A community-driven collectibles project featuring art by Burnt Toast. Doodles come in a joyful range of colors, traits and sizes with a collection size of 10,000. Each Doodle allows its owner to vote for experiences and activations paid for by the Doodles Community Treasury. Burnt Toast is the working alias for Scott Martin, a Canadian–based illustrator, designer, animator and muralist.",2021-10-16T16:25:03.736944,https://opensea.io/assets/ethereum/0x8a90cab2b38dba80c64b7734e58ee1db38b8992e/4432,https://lh3.googleusercontent.com/US5SS-akk9eWkJjAZ47dQu1eS7VvXOfAW9xChawHQ61-pDQXL8ATxHG0INVhGRZoRnMqwB-DGWJe_k77UnK0Qab-iw1NvhR0a9QyuQ,6984093074,2022-06-22T03:26:14.448055,,0x7f268357a8c2552623316e2562d90e642bb538e5,1,ETH,15.0
doodles-official,Doodles,https://opensea.io/collection/doodles-official,74051555,Doodle #2606,"A community-driven collectibles project featuring art by Burnt Toast. Doodles come in a joyful range of colors, traits and sizes with a collection size of 10,000. Each Doodle allows its owner to vote for experiences and activations paid for by the Doodles Community Treasury. Burnt Toast is the working alias for Scott Martin, a Canadian–based illustrator, designer, animator and muralist.",2021-10-16T16:25:03.736944,https://opensea.io/assets/ethereum/0x8a90cab2b38dba80c64b7734e58ee1db38b8992e/2606,https://lh3.googleusercontent.com/A_c2CMTF3krDBYvTda5GRjz2kQUAxg0Qb3T1hSZBVAg7nTCxhy00G5QtrUP8hajcbEPxwkgkVipg8DeHPQq7GvuBTc_ZgZRFurEDWQ,6984092768,2022-06-22T03:26:13.188249,,0x7f268357a8c2552623316e2562d90e642bb538e5,1,ETH,15.0
